r,g,b,name,class
0,255,221,173,4
0,255,225,174,4
0,255,229,175,4
0,255,233,176,4
0,255,237,177,4
0,255,242,178,4
0,255,246,179,4
0,255,250,180,4
0,255,255,181,4
0,250,255,182,4
0,246,255,183,4
0,242,255,184,4
0,237,255,185,4
0,233,255,186,4
0,229,255,187,4
0,225,255,188,4
0,221,255,189,4
0,216,255,190,4
0,212,255,191,4
0,208,255,192,4
0,203,255,193,4
0,199,255,194,4
0,195,255,195,4
0,191,255,196,4
0,187,255,197,4
0,182,255,198,4
0,178,255,199,4
0,174,255,200,4
0,169,255,201,4
0,165,255,202,4
0,161,255,203,4
0,157,255,204,4
0,153,255,205,4
0,148,255,206,5
0,144,255,207,5
0,140,255,208,5
0,135,255,209,5
0,131,255,210,5
0,127,255,211,5
0,123,255,212,5
0,119,255,213,5
0,114,255,214,5
0,110,255,215,5
0,106,255,216,5
0,101,255,217,5
0,97,255,218,5
0,93,255,219,5
0,89,255,220,5
0,85,255,221,5
0,80,255,222,5
0,76,255,223,5
0,72,255,224,5
0,67,255,225,5
0,63,255,226,5
0,59,255,227,5
0,55,255,228,5
0,51,255,229,5
0,46,255,230,5
0,42,255,231,5
0,38,255,232,5
0,33,255,233,5
0,29,255,234,5
0,25,255,235,5
0,21,255,236,5
0,17,255,237,5
0,12,255,238,5
0,8,255,239,5
0,4,255,240,5
0,0,255,241,5
4,0,255,242,5
8,0,255,243,5
12,0,255,244,5
16,0,255,245,5
21,0,255,246,5
25,0,255,247,5
29,0,255,248,5
34,0,255,249,5
38,0,255,250,5
42,0,255,251,5
46,0,255,252,5
51,0,255,253,5
55,0,255,254,5
59,0,255,255,5
63,0,255,256,5
67,0,255,257,5
72,0,255,258,5
76,0,255,259,5
80,0,255,260,5
84,0,255,261,5
89,0,255,262,5
93,0,255,263,5
97,0,255,264,5
102,0,255,265,5
106,0,255,266,6
110,0,255,267,6
114,0,255,268,6
119,0,255,269,6
123,0,255,270,6
127,0,255,271,6
131,0,255,272,6
135,0,255,273,6
140,0,255,274,6
144,0,255,275,6
148,0,255,276,6
152,0,255,277,6
157,0,255,278,6
161,0,255,279,6
165,0,255,280,6
170,0,255,281,6
174,0,255,282,6
178,0,255,283,6
182,0,255,284,6
187,0,255,285,6
191,0,255,286,6
195,0,255,287,6
199,0,255,288,6
203,0,255,289,6
208,0,255,290,6
212,0,255,291,6
216,0,255,292,6
220,0,255,293,6
225,0,255,294,6
229,0,255,295,6
233,0,255,296,6
238,0,255,297,6
242,0,255,298,6
246,0,255,299,6
250,0,255,300,6
255,0,255,301,6
255,0,250,302,6
255,0,246,303,6
255,0,242,304,6
255,0,238,305,6
255,0,233,306,6
255,0,229,307,6
255,0,225,308,6
255,0,220,309,6
255,0,216,310,6
255,0,212,311,6
255,0,208,312,6
255,0,203,313,6
255,0,199,314,6
255,0,195,315,6
255,0,191,316,6
255,0,187,317,6
255,0,182,318,6
255,0,178,319,6
255,0,174,320,6
255,0,170,321,6
255,0,165,322,6
255,0,161,323,6
255,0,157,324,6
255,0,152,325,6
